step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.0,0,0.0,0.7116868372950093,0,0.0
25.0,0,0.0,0.0,13.634087754422964,0,0.0,0.9703200793347894,0,0.0
30.0,0,0.0,0.0,13.953644487899894,0,0.0,0.9930625114332413,0,0.0
35.0,0,0.0,0.0,13.59246259369904,0,0.0,0.9673576714360387,0,0.0
40.0,0,0.0,0.0,13.109350681251463,0,0.0,0.8954304744529167,0,0.0
45.0,0,0.0,0.0,14.619286845293786,0,0.0,0.9930480872806849,0,0.0
50.0,0,0.0,0.0,14.336565681879833,0,0.0,0.9738819596722723,0,0.0
55.0,0,0.0,0.0,14.531539478544104,0,0.0,0.9873497702941308,0,0.0
60.0,0,0.0,0.0,14.42670451596608,0,0.0,0.9802161421954655,0,0.0
65.0,0,0.0,0.0,14.566260484775952,0,0.0,0.9895471439006801,0,0.0
70.0,0,0.0,0.0,14.29731841440774,0,0.0,0.971311731422219,0,0.0
75.0,0,0.0,0.0,14.672173177679028,0,0.0,0.9982242015756976,0,0.0
80.0,0,0.0,0.0,14.454296515935525,0,0.0,0.9973103222032215,0,0.0
85.0,0,0.0,0.0,14.490608479042962,0,0.0,0.9885731036795751,0,0.0
90.0,1,1.0,0.5,6.941967053640557,1,1.0,0.004689126055966701,1,1.0
95.0,1,6.0,3.0,7.013893366912463,1,6.0,0.0,1,6.0
100.0,1,11.0,2.75,8.867994217204437,1,11.0,0.4436670343916944,1,11.0
105.0,1,16.0,3.2,10.98189391168024,1,16.0,0.6630530170407548,1,16.0
110.0,1,21.0,4.2,11.938037375074146,1,21.0,0.7413325845121035,1,21.0
115.0,1,26.0,4.333333333333333,11.917827142648775,1,26.0,0.7605056700500019,1,26.0
120.0,1,31.0,5.166666666666667,12.35487546526638,1,31.0,0.793892155039837,1,31.0
125.0,1,36.0,6.0,12.230925113712876,1,36.0,0.7902125433960387,1,36.0
130.0,1,41.0,6.833333333333333,12.225073726239742,1,41.0,0.7853729349403503,1,41.0
135.0,1,46.0,7.666666666666667,12.080203095908532,1,46.0,0.811985249420926,1,46.0
140.0,1,51.0,8.5,12.179095983244407,1,51.0,0.8195698315484944,1,51.0
145.0,1,56.0,9.333333333333334,11.227029588190701,1,56.0,0.7622455478895741,1,56.0
150.0,2,64.0,10.666666666666666,9.47594421859895,2,64.0,0.5923822407620728,2,64.0
155.0,2,74.0,12.333333333333334,9.455832444761505,2,74.0,0.5874506795028929,2,74.0
160.0,2,84.0,14.0,9.439408528841192,2,84.0,0.4907639251706063,2,84.0
165.0,2,94.0,13.428571428571429,9.786949358882746,2,94.0,0.5689436086591504,2,94.0
170.0,3,106.0,15.142857142857142,8.025509464151643,3,106.0,0.3968738521435258,3,106.0
175.0,3,121.0,13.444444444444445,8.627332674910352,3,121.0,0.4902388564681247,3,121.0
180.0,3,136.0,15.11111111111111,9.272826336789377,3,136.0,0.5415722537903207,3,136.0
185.0,3,151.0,15.1,9.548183980378889,3,151.0,0.5919446496323826,3,151.0
190.0,3,166.0,15.090909090909092,9.838967482245215,3,166.0,0.5872550812151625,3,166.0
195.0,3,181.0,16.454545454545453,10.077071206765629,3,181.0,0.6121913207687297,3,181.0
200.0,3,196.0,19.6,9.498692742012182,3,196.0,0.6075564626945551,3,196.0
205.0,3,211.0,17.583333333333332,9.771924182985073,3,211.0,0.6384950091311062,3,211.0
210.0,3,226.0,17.384615384615383,10.491248227005697,3,226.0,0.7078012518347021,3,226.0
215.0,3,241.0,16.066666666666666,10.374002209857203,3,241.0,0.7261447284786214,3,241.0
220.0,3,256.0,17.066666666666666,10.340698486358384,3,256.0,0.7206506829045695,3,256.0
225.0,4,275.0,17.1875,9.318904644692433,4,275.0,0.6559667643829707,4,275.0
230.0,3,95.0,5.277777777777778,8.931787558067615,3,299.0,0.6364626886614303,3,299.0
235.0,2,96.0,4.8,9.846978373972714,2,105.0,0.7854504570116339,2,105.0
240.0,2,106.0,5.3,10.828824171655974,2,106.0,0.8492485344796868,2,106.0
245.0,2,116.0,5.8,11.280496560013466,2,116.0,0.8177991236239064,2,116.0
250.0,3,130.0,5.6521739130434785,11.613040620218229,3,130.0,0.7917863063055239,3,130.0
255.0,3,145.0,5.8,11.86730126991798,3,145.0,0.8057229966635467,3,145.0
260.0,3,160.0,6.153846153846154,12.16077536156475,3,160.0,0.8210859478221009,3,160.0
265.0,3,175.0,6.730769230769231,12.161540638994175,3,175.0,0.8240878003741089,3,175.0
270.0,3,190.0,7.037037037037037,11.247559033036168,3,190.0,0.722378621740485,3,190.0
275.0,5,215.0,7.413793103448276,10.89457574204021,5,215.0,0.6841321965557049,5,215.0
280.0,2,186.0,6.413793103448276,11.112449272930956,2,240.0,0.7022815269736948,2,240.0
285.0,2,196.0,6.758620689655173,10.5116138729479,2,196.0,0.7452016042799442,2,196.0
290.0,3,9.0,0.32142857142857145,10.41636220810319,3,213.0,0.6827927114318301,3,213.0
295.0,3,24.0,0.8275862068965517,11.063666176968624,3,24.0,0.7858329283753528,3,24.0
300.0,3,39.0,1.2580645161290323,10.933232083279934,3,39.0,0.6962201357164025,3,39.0
