step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.0,0,0.0,0.693920389983259,0,0.0
25.0,0,0.0,0.0,13.99145704030525,0,0.0,0.9708957325842634,0,0.0
30.0,0,0.0,0.0,14.013303478421646,0,0.0,0.9724117014700109,0,0.0
35.0,0,0.0,0.0,14.092325862786735,0,0.0,0.9778952258476139,0,0.0
40.0,0,0.0,0.0,13.328846014074983,0,0.0,0.9433536222793484,0,0.0
45.0,0,0.0,0.0,13.838163333519773,0,0.0,0.9804021168773802,0,0.0
50.0,0,0.0,0.0,13.848901429021211,0,0.0,0.980605720439099,0,0.0
55.0,0,0.0,0.0,13.85869753242558,0,0.0,0.9817474260439143,0,0.0
60.0,0,0.0,0.0,13.954680196050035,0,0.0,0.988114228156765,0,0.0
65.0,0,0.0,0.0,13.87767556534935,0,0.0,0.9828014385069326,0,0.0
70.0,0,0.0,0.0,13.98225583698921,0,0.0,0.9901939168168254,0,0.0
75.0,0,0.0,0.0,7.402297314622979,0,0.0,0.5333864318209742,0,0.0
80.0,1,5.0,2.5,6.872126451239866,1,5.0,0.49698997911334375,1,5.0
85.0,1,10.0,5.0,6.7162419791686725,1,10.0,0.48571646412952396,1,10.0
90.0,1,15.0,7.5,6.80114258134313,1,15.0,0.49185644842707443,1,15.0
95.0,2,21.0,10.5,0.04074861982622345,2,21.0,0.002946927106191212,2,21.0
100.0,2,31.0,7.75,5.400987013446866,2,31.0,0.3688141837939003,2,31.0
105.0,2,41.0,8.2,8.233078724886221,2,41.0,0.5661870776549173,2,41.0
110.0,2,51.0,10.2,8.466835147982811,2,51.0,0.5824609409128852,2,51.0
115.0,2,61.0,10.166666666666666,9.251082378674278,2,61.0,0.6174512859770096,2,61.0
120.0,2,71.0,11.833333333333334,9.746715566572092,2,71.0,0.6462681390290196,2,71.0
125.0,2,81.0,13.5,9.90697904131798,2,81.0,0.6554345498413677,2,81.0
130.0,2,91.0,15.166666666666666,9.882495469208378,2,91.0,0.654348392872365,2,91.0
135.0,2,101.0,14.428571428571429,10.210763014981655,2,101.0,0.697808651953257,2,101.0
140.0,2,111.0,15.857142857142858,10.269947765457177,2,111.0,0.7021899152982779,2,111.0
145.0,2,121.0,17.285714285714285,10.24816460401445,2,121.0,0.7003448652309714,2,121.0
150.0,2,131.0,18.714285714285715,9.886340490525754,2,131.0,0.6564727996438492,2,131.0
155.0,2,141.0,20.142857142857142,9.080725934475497,2,141.0,0.5556323150733017,2,141.0
160.0,4,156.0,22.285714285714285,4.548412608797017,4,156.0,0.2061942878605004,4,156.0
165.0,5,179.0,22.375,4.9042414905082925,5,179.0,0.28338844918481326,5,179.0
170.0,5,204.0,25.5,4.853114953537908,5,204.0,0.27960742196045013,5,204.0
175.0,5,229.0,22.9,6.126593542434066,5,229.0,0.40111421015888393,5,229.0
180.0,5,254.0,25.4,6.596925056347399,5,254.0,0.4377545392811975,5,254.0
185.0,5,279.0,25.363636363636363,6.818883021155761,5,279.0,0.4565308384470062,5,279.0
190.0,5,304.0,25.333333333333332,7.508315185008171,5,304.0,0.5215630648514837,5,304.0
195.0,6,330.0,27.5,6.631123284972752,6,330.0,0.44430383292497205,6,330.0
200.0,6,360.0,30.0,6.6160668723010545,6,360.0,0.44460853884481,6,360.0
205.0,6,390.0,30.0,6.720318517765865,6,390.0,0.488606321547554,6,390.0
210.0,6,420.0,30.0,7.553439107900813,6,420.0,0.5500561001562733,6,420.0
215.0,6,450.0,26.470588235294116,8.22400737673296,6,450.0,0.6096117769383307,6,450.0
220.0,6,480.0,28.235294117647058,8.505236656633143,6,480.0,0.6319696055607035,6,480.0
225.0,6,510.0,28.333333333333332,8.67945249050979,6,510.0,0.6448865540971839,6,510.0
230.0,7,543.0,27.15,8.418361642057269,7,543.0,0.6180146617082289,7,543.0
235.0,8,580.0,26.363636363636363,8.253940732007349,8,580.0,0.5927599795958972,8,580.0
240.0,8,620.0,28.181818181818183,7.8025846179461755,8,620.0,0.560607168788079,8,620.0
245.0,9,664.0,30.181818181818183,7.824864460159255,9,664.0,0.5615102295487484,9,664.0
250.0,9,709.0,27.26923076923077,8.229395217599167,9,709.0,0.570956001591898,9,709.0
255.0,11,758.0,27.071428571428573,7.5840502295571,11,758.0,0.528575567515524,11,758.0
260.0,12,818.0,28.20689655172414,8.024275667672482,12,818.0,0.5635778879611769,12,818.0
265.0,12,878.0,30.275862068965516,8.003117472587816,12,878.0,0.5613363682875986,12,878.0
270.0,12,938.0,31.266666666666666,7.558636429909826,12,938.0,0.5355284188483211,12,938.0
275.0,14,1006.0,31.4375,7.360214940600283,14,1006.0,0.5153798325938003,14,1006.0
280.0,15,1078.0,33.6875,6.132435406387398,15,1078.0,0.4182760581526195,15,1078.0
285.0,18,1165.0,36.40625,5.96879279127668,18,1165.0,0.40312972397130165,18,1165.0
290.0,20,1259.0,39.34375,5.231031947901448,20,1259.0,0.3473102155618478,20,1259.0
295.0,14,880.0,25.88235294117647,5.16189285132275,14,1353.0,0.3673384791032598,14,1353.0
300.0,13,753.0,20.916666666666668,5.283278790536222,13,802.0,0.4126793059555576,13,802.0
