step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.0,0,0.0,0.6791909477430484,0,0.0
25.0,0,0.0,0.0,13.739420039462857,0,0.0,0.933168971804261,0,0.0
30.0,0,0.0,0.0,14.689906279655734,0,0.0,0.9977251368335937,0,0.0
35.0,0,0.0,0.0,14.422430555784704,0,0.0,0.9795584277941713,0,0.0
40.0,0,0.0,0.0,13.378838133058325,0,0.0,0.9268251561372298,0,0.0
45.0,0,0.0,0.0,14.277723958483783,0,0.0,0.9904857267012857,0,0.0
50.0,0,0.0,0.0,14.03908265935106,0,0.0,0.9739369306331951,0,0.0
55.0,0,0.0,0.0,14.183924356825536,0,0.0,0.9840901153947874,0,0.0
60.0,0,0.0,0.0,14.25212464801816,0,0.0,0.9885005611075723,0,0.0
65.0,0,0.0,0.0,13.99252683232853,0,0.0,0.9707336372020074,0,0.0
70.0,0,0.0,0.0,14.249093447347057,0,0.0,0.9886351536979489,0,0.0
75.0,1,1.0,0.5,7.045315402781058,1,1.0,0.4992674714839709,1,1.0
80.0,1,6.0,3.0,6.924430751600374,1,6.0,0.4908133627888354,1,6.0
85.0,0,0.0,0.0,7.46296837886104,0,10.0,0.5276596789895796,0,10.0
90.0,0,0.0,0.0,9.320758197815229,0,0.0,0.9716251645979777,0,0.0
95.0,1,2.0,1.0,4.311511682423172,1,2.0,1.2489112023911928e-05,1,2.0
100.0,1,7.0,1.75,8.574624501168728,1,7.0,0.5289699233482511,1,7.0
105.0,1,12.0,2.4,10.750425979718598,1,12.0,0.712935091711611,1,12.0
110.0,1,17.0,3.4,11.059483005414238,1,17.0,0.7441297790601892,1,17.0
115.0,1,22.0,3.6666666666666665,10.909807245386107,1,22.0,0.7854388033807569,1,22.0
120.0,1,27.0,4.5,11.005208987493653,1,27.0,0.788291527305893,1,27.0
125.0,1,32.0,5.333333333333333,10.998038744207902,1,32.0,0.7899813836890834,1,32.0
130.0,1,37.0,6.166666666666667,10.964524355467994,1,37.0,0.7877347890972962,1,37.0
135.0,0,0.0,0.0,11.286970142627107,0,41.0,0.8068573201690458,0,41.0
140.0,0,0.0,0.0,11.931087801375027,0,0.0,0.9724134968081459,0,0.0
145.0,0,0.0,0.0,11.619503279252298,0,0.0,0.9068720654426194,0,0.0
150.0,1,3.0,0.5,10.143595292310374,1,3.0,0.7820054255109213,1,3.0
155.0,1,8.0,1.3333333333333333,10.49932182419761,1,8.0,0.7862364123833065,1,8.0
160.0,1,13.0,2.1666666666666665,10.488200909153356,1,13.0,0.7845730525019208,1,13.0
165.0,1,18.0,2.5714285714285716,10.718891723019828,1,18.0,0.7614745500809671,1,18.0
170.0,1,23.0,3.2857142857142856,10.925023657103447,1,23.0,0.7353858078942419,1,23.0
175.0,1,28.0,3.111111111111111,10.94459780343134,1,28.0,0.7470557091922762,1,28.0
180.0,1,33.0,3.6666666666666665,11.58481528437637,1,33.0,0.8135578636579015,1,33.0
185.0,2,39.0,3.9,9.52015477072138,2,39.0,0.5747948740640172,2,39.0
190.0,3,52.0,4.7272727272727275,9.495171531064214,3,52.0,0.5790766820286674,3,52.0
195.0,2,56.0,5.090909090909091,9.93545899835757,2,66.0,0.6225872966621124,2,66.0
200.0,2,66.0,6.6,9.937263296646147,2,66.0,0.698982945480929,2,66.0
205.0,2,76.0,6.333333333333333,10.52730137043523,2,76.0,0.7235565812432087,2,76.0
210.0,2,86.0,6.615384615384615,11.102346663946687,2,86.0,0.7684337902712117,2,86.0
215.0,1,68.0,4.25,11.25338861566583,1,95.0,0.8004837183391204,1,95.0
220.0,2,74.0,4.625,10.950615902256189,2,74.0,0.8139723547040854,2,74.0
225.0,1,78.0,4.875,10.67241754490251,1,83.0,0.7760235969278958,1,83.0
230.0,2,87.0,4.833333333333333,11.094835755096486,2,87.0,0.814068552361591,2,87.0
235.0,2,97.0,4.85,11.3615128659838,2,97.0,0.8070923063594188,2,97.0
240.0,2,107.0,5.631578947368421,11.432292873011548,2,107.0,0.7909052633808519,2,107.0
245.0,4,123.0,6.473684210526316,10.745955491924756,4,123.0,0.7206013606749333,4,123.0
250.0,3,134.0,5.826086956521739,11.023389744159903,3,142.0,0.7601005259569528,3,142.0
255.0,3,149.0,5.96,11.34728183933184,3,149.0,0.8131651048958046,3,149.0
260.0,3,164.0,6.3076923076923075,10.864651290372498,3,164.0,0.7537390878275644,3,164.0
265.0,6,190.0,7.3076923076923075,10.39146681054539,6,190.0,0.699956181292068,6,190.0
270.0,7,222.0,8.222222222222221,10.045629427098099,7,222.0,0.6650436252056255,7,222.0
275.0,7,257.0,9.178571428571429,10.046143913993372,7,257.0,0.6774485698149367,7,257.0
280.0,10,297.0,11.0,8.175159461970079,10,297.0,0.5333804544176598,10,297.0
285.0,7,279.0,10.333333333333334,7.545701163037696,7,348.0,0.4872943406958475,7,348.0
290.0,7,309.0,11.884615384615385,8.157001215268572,7,309.0,0.5772745902186931,7,309.0
295.0,3,227.0,8.107142857142858,9.15784368227285,3,340.0,0.6279587122893171,3,340.0
300.0,2,227.0,7.566666666666666,10.39968109034496,2,227.0,0.7966288869161808,2,227.0
