step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.0,0,0.0,0.690857311781625,0,0.0
25.0,0,0.0,0.0,13.733917239354923,0,0.0,0.9488177144212059,0,0.0
30.0,0,0.0,0.0,14.054543112673477,0,0.0,0.970968387314055,0,0.0
35.0,0,0.0,0.0,14.087253775716439,0,0.0,0.9732282273877005,0,0.0
40.0,0,0.0,0.0,13.293296767009263,0,0.0,0.9168484203728633,0,0.0
45.0,0,0.0,0.0,14.276328927793857,0,0.0,0.9844760253032367,0,0.0
50.0,0,0.0,0.0,14.173978684426602,0,0.0,0.9774442289154319,0,0.0
55.0,0,0.0,0.0,14.320582216620297,0,0.0,0.9875589865073355,0,0.0
60.0,0,0.0,0.0,14.434506014702693,0,0.0,0.9954061518490549,0,0.0
65.0,0,0.0,0.0,14.258176511401162,0,0.0,0.9832190473278799,0,0.0
70.0,0,0.0,0.0,14.127185633362588,0,0.0,0.9742189581260188,0,0.0
75.0,0,0.0,0.0,7.370906553852274,0,0.0,0.507439845810602,0,0.0
80.0,1,5.0,2.5,7.169749694582086,1,5.0,0.49352775939881993,1,5.0
85.0,0,0.0,0.0,7.613824393596977,0,9.0,0.5241871756296151,0,9.0
90.0,0,0.0,0.0,6.524202643937736,0,0.0,0.5943576143512231,0,0.0
95.0,0,0.0,0.0,4.544048195329269,0,3.0,0.04076952932201691,0,3.0
100.0,0,0.0,0.0,9.36109438476118,0,0.0,0.7321298390991486,0,0.0
105.0,0,0.0,0.0,12.179629219963909,0,0.0,0.9305522397263847,0,0.0
110.0,0,0.0,0.0,13.44850424462555,0,0.0,0.9749331968188693,0,0.0
115.0,0,0.0,0.0,13.641529264224138,0,0.0,0.9561827993298534,0,0.0
120.0,0,0.0,0.0,13.764950581602173,0,0.0,0.9767961753479976,0,0.0
125.0,0,0.0,0.0,13.809202206116368,0,0.0,0.975294201616654,0,0.0
130.0,0,0.0,0.0,13.791151002523842,0,0.0,0.9725784404505515,0,0.0
135.0,0,0.0,0.0,13.657586037811326,0,0.0,0.9707991315781503,0,0.0
140.0,0,0.0,0.0,13.70944360596863,0,0.0,0.9809010944142758,0,0.0
145.0,0,0.0,0.0,13.708904838553398,0,0.0,0.980740302192855,0,0.0
150.0,0,0.0,0.0,13.676617015261298,0,0.0,0.9845966858108551,0,0.0
155.0,0,0.0,0.0,13.700764483395282,0,0.0,0.9810155827427036,0,0.0
160.0,1,1.0,0.2,10.932674545217994,1,1.0,0.7344028063727904,1,1.0
165.0,1,6.0,1.0,11.219302622329293,1,6.0,0.6994888687192953,1,6.0
170.0,1,11.0,1.8333333333333333,9.724485213088416,1,11.0,0.5342931174915424,1,11.0
175.0,2,19.0,2.375,9.797354845904874,2,19.0,0.6089664267085312,2,19.0
180.0,2,29.0,3.625,10.192563754103524,2,29.0,0.6509520558096518,2,29.0
185.0,2,39.0,4.333333333333333,10.261010291304673,2,39.0,0.6594686474976307,2,39.0
190.0,2,49.0,4.9,10.702166358466656,2,49.0,0.6569470124862958,2,49.0
195.0,2,59.0,5.9,11.170865457381527,2,59.0,0.6990377084889763,2,59.0
200.0,2,69.0,7.666666666666667,10.627898263210248,2,69.0,0.7017799463741367,2,69.0
205.0,2,79.0,7.181818181818182,10.700059676750923,2,79.0,0.731137107366118,2,79.0
210.0,1,51.0,4.25,11.04471406550365,1,88.0,0.7656327068911354,1,88.0
215.0,1,56.0,3.7333333333333334,11.372655709391791,1,56.0,0.8390625813678466,1,56.0
220.0,0,0.0,0.0,12.380348923618117,0,60.0,0.9025324359487658,0,60.0
225.0,0,0.0,0.0,12.805835021352811,0,0.0,0.974587383241687,0,0.0
230.0,0,0.0,0.0,12.948118735611123,0,0.0,0.9647403318719926,0,0.0
235.0,1,1.0,0.05263157894736842,12.462250948496974,1,1.0,0.8807143035937697,1,1.0
240.0,1,6.0,0.3157894736842105,12.04478612375317,1,6.0,0.8348151335627189,1,6.0
245.0,0,0.0,0.0,12.1419961936508,0,13.0,0.8383035268023321,0,13.0
250.0,0,0.0,0.0,12.504937099002815,0,0.0,0.9479576663623407,0,0.0
255.0,0,0.0,0.0,12.846805317227933,0,0.0,0.9431341759862103,0,0.0
260.0,1,1.0,0.04,12.823761935770085,1,1.0,0.9165532913571052,1,1.0
265.0,0,0.0,0.0,12.69378215356377,0,5.0,0.8840399531260433,0,5.0
270.0,1,3.0,0.12,12.5530357116361,1,3.0,0.9160555408509697,1,3.0
275.0,1,1.0,0.037037037037037035,12.171186169644269,1,8.0,0.8557314607459348,1,8.0
280.0,1,6.0,0.23076923076923078,12.045624530312644,1,6.0,0.8571748391288267,1,6.0
285.0,1,1.0,0.038461538461538464,11.635052195764834,1,15.0,0.7757481936150739,1,15.0
290.0,0,0.0,0.0,12.095168320284145,0,1.0,0.8915340336334427,0,1.0
295.0,2,7.0,0.2692307692307692,11.421414339672767,2,9.0,0.7656208634428632,2,9.0
300.0,3,19.0,0.6785714285714286,11.277548657133334,3,20.0,0.734674162349173,3,20.0
305.0,4,38.0,1.2258064516129032,11.553959703872692,4,39.0,0.7477712209808068,4,39.0
