step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.473586873068383,0,0.0,0.9251382418663289,0,0.0
10.0,0,0.0,0.0,13.701229658744003,0,0.0,0.9442948979847611,0,0.0
15.0,0,0.0,0.0,11.104121543017023,0,0.0,0.7620568840256933,0,0.0
20.0,4,10.0,1.25,3.8000238618051596,4,10.0,0.2718103372892423,4,10.0
25.0,6,39.0,3.25,6.741115556440572,6,39.0,0.3774195798539811,6,39.0
30.0,6,69.0,5.75,5.002006010140239,6,69.0,0.3410308129153769,6,69.0
35.0,8,105.0,6.5625,6.036931158150861,8,105.0,0.32253783275863707,8,105.0
40.0,10,152.0,9.5,5.451323586783811,10,152.0,0.28101352512285355,10,152.0
45.0,11,203.0,11.277777777777779,3.827391594614571,11,203.0,0.173832693008722,11,203.0
50.0,14,269.0,12.80952380952381,4.6972275640474574,14,269.0,0.21399112923759112,14,269.0
55.0,12,265.0,12.619047619047619,3.714505985906669,12,265.0,0.2662287161099294,12,265.0
60.0,15,335.0,15.227272727272727,3.3180689066903217,15,335.0,0.16054710445879602,15,335.0
65.0,17,414.0,14.785714285714286,5.063287709801794,17,414.0,0.2133710229550008,17,414.0
70.0,18,503.0,15.71875,5.9706818908085495,18,503.0,0.2864352895461731,18,503.0
75.0,19,595.0,19.193548387096776,3.4401877539714714,19,595.0,0.21425460292506363,19,595.0
80.0,24,712.0,21.575757575757574,2.451564644414944,24,712.0,0.1435766762351693,24,712.0
85.0,30,852.0,24.34285714285714,1.7576862974386662,30,852.0,0.09365551679944739,30,852.0
90.0,32,1007.0,28.771428571428572,1.0713348723064124,32,1007.0,0.07147942983727645,32,1007.0
95.0,33,1169.0,27.833333333333332,2.579271219267324,33,1169.0,0.08023439042847932,33,1169.0
100.0,34,1338.0,31.11627906976744,2.7633292792919932,34,1338.0,0.15533053467038221,34,1338.0
105.0,37,1513.0,33.62222222222222,1.4960839040636067,37,1513.0,0.08026700498905448,37,1513.0
110.0,41,1713.0,36.4468085106383,1.4728622955261834,41,1713.0,0.06196595364061995,41,1713.0
115.0,43,1922.0,36.96153846153846,2.0410633887993974,43,1922.0,0.07230328771763107,43,1922.0
120.0,45,2143.0,40.43396226415094,1.67698460625348,45,2143.0,0.11577579842436474,45,2143.0
125.0,47,2375.0,40.94827586206897,1.7041468215632127,47,2375.0,0.06234376851288527,47,2375.0
130.0,52,2626.0,45.275862068965516,0.988334773624554,52,2626.0,0.05397711609955737,52,2626.0
135.0,56,2896.0,49.08474576271186,0.4542303097801159,56,2896.0,0.014592406222656751,56,2896.0
140.0,58,3182.0,51.32258064516129,0.9404439707023345,58,3182.0,0.03201243323048527,58,3182.0
145.0,58,3472.0,51.82089552238806,1.4665598897234404,58,3472.0,0.06062894734796832,58,3472.0
150.0,57,3246.0,48.44776119402985,0.8330330529236796,57,3246.0,0.043787459729213024,57,3246.0
155.0,44,2057.0,28.569444444444443,2.7941149771392304,43,2964.0,0.09640666512270868,43,2964.0
160.0,35,1433.0,19.364864864864863,3.2844546542969435,34,2833.0,0.12326351176288419,34,2833.0
