step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.923232473825456,0,0.0,0.979103649982357,0,0.0
10.0,0,0.0,0.0,14.642502574995541,0,0.0,0.9740869557413978,0,0.0
15.0,1,1.0,0.16666666666666666,9.010807151103316,1,1.0,0.6118702563739289,1,1.0
20.0,5,15.0,1.875,3.446929945945373,5,15.0,0.1447863015635756,5,15.0
25.0,6,45.0,3.75,7.287143295851549,6,45.0,0.38916385480223503,6,45.0
30.0,4,51.0,4.25,5.8343064559534925,4,51.0,0.42461445756917476,4,51.0
35.0,8,81.0,5.0625,5.749499074106271,8,81.0,0.22590340054080923,8,81.0
40.0,6,109.0,6.8125,5.474553627589554,6,109.0,0.379920566822994,6,109.0
45.0,6,139.0,7.722222222222222,6.562541545477515,6,139.0,0.28802923188672785,6,139.0
50.0,10,182.0,9.578947368421053,6.973989090487825,10,182.0,0.27575226558080357,10,182.0
55.0,10,232.0,11.047619047619047,6.549255880749977,10,232.0,0.2972394685137345,10,232.0
60.0,13,290.0,16.11111111111111,2.626254942225673,13,290.0,0.13441889457766631,13,290.0
65.0,10,167.0,6.958333333333333,4.470352068382926,10,167.0,0.27778264788345003,10,167.0
70.0,4,33.0,1.1785714285714286,9.423689622874154,3,65.0,0.5722156441518267,3,65.0
75.0,5,54.0,1.8,10.447549999375958,3,49.0,0.5863844556360213,3,49.0
80.0,6,69.0,2.225806451612903,8.94314435549617,6,69.0,0.25499239827887205,6,69.0
85.0,9,108.0,3.857142857142857,8.933883067356826,9,108.0,0.29835932141571037,9,108.0
90.0,10,157.0,7.476190476190476,6.399334045970738,10,157.0,0.21693542863857732,10,157.0
95.0,13,213.0,8.52,5.93404310704521,13,213.0,0.2287570350590426,13,213.0
100.0,15,284.0,12.347826086956522,4.671273736625608,15,284.0,0.2945934864257937,15,284.0
105.0,14,317.0,12.68,3.874349364353407,14,317.0,0.2818032910134506,14,317.0
110.0,12,345.0,12.777777777777779,4.534012532102513,12,359.0,0.1925777508031352,12,359.0
115.0,16,417.0,12.636363636363637,6.331665288824187,16,431.0,0.2503172974540659,16,431.0
120.0,17,502.0,14.764705882352942,6.002793061393767,17,516.0,0.2677083482156257,17,516.0
125.0,20,463.0,12.86111111111111,4.344726476601555,20,477.0,0.1593404780844946,20,477.0
130.0,14,148.0,4.625,4.171888624104952,13,356.0,0.20217654375498062,13,356.0
135.0,5,72.0,2.1818181818181817,5.456136082495166,5,351.0,0.19059898059021746,5,351.0
