step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.561712246230694,0,0.0,0.9330943082767558,0,0.0
10.0,0,0.0,0.0,14.05230346124871,0,0.0,0.9489589041065764,0,0.0
15.0,0,0.0,0.0,10.215415398419323,0,0.0,0.6923706922380871,0,0.0
20.0,4,9.0,1.125,3.8783257498753128,4,9.0,0.2580465026240698,4,9.0
25.0,0,0.0,0.0,7.669237623531493,0,0.0,0.9195860979579946,0,0.0
30.0,2,2.0,0.16666666666666666,9.693028493847846,0,0.0,0.9058255859425506,0,0.0
35.0,0,0.0,0.0,11.756694607087264,0,0.0,0.8743696304811787,0,0.0
40.0,0,0.0,0.0,12.980382443418293,0,0.0,0.9553116125879128,0,0.0
45.0,0,0.0,0.0,12.290783959309136,0,0.0,0.6495943367912314,0,0.0
50.0,4,9.0,0.6428571428571429,9.873127450538494,4,9.0,0.4752881203886403,4,9.0
55.0,4,29.0,2.230769230769231,9.807204432212611,4,29.0,0.5268024336791421,4,29.0
60.0,4,49.0,4.083333333333333,7.237207450060005,4,49.0,0.3980769831009602,4,49.0
65.0,7,77.0,4.277777777777778,7.696875979452439,7,77.0,0.37364307972934074,7,77.0
70.0,8,116.0,5.8,7.924145800313835,8,116.0,0.479612048185881,8,116.0
75.0,9,158.0,7.181818181818182,6.380769384466779,9,158.0,0.3725457423051951,9,158.0
80.0,13,215.0,9.347826086956522,5.709078309392806,13,215.0,0.2619555966935312,13,215.0
85.0,16,286.0,11.0,5.119283667909077,14,281.0,0.21324822292015722,14,281.0
90.0,16,360.0,14.4,4.206696923856633,15,353.0,0.15756262562688364,15,353.0
95.0,17,445.0,14.35483870967742,5.839073692880989,16,433.0,0.23066711645764817,16,433.0
100.0,17,518.0,17.266666666666666,5.739043909426061,17,518.0,0.28028421962948163,17,518.0
105.0,17,603.0,20.1,4.1381314494887835,17,603.0,0.15071379349112984,17,603.0
110.0,23,707.0,22.806451612903224,3.5615790061933468,23,707.0,0.14219737459422865,23,707.0
115.0,23,822.0,22.833333333333332,4.392317128110046,23,822.0,0.16334336497406157,23,822.0
120.0,25,941.0,26.13888888888889,3.815625353621916,25,941.0,0.20653066537819012,25,941.0
125.0,20,645.0,16.125,4.285960532639995,20,645.0,0.24130262422799895,20,645.0
130.0,8,71.0,1.775,5.517740015771848,6,382.0,0.27443626187913184,6,382.0
135.0,13,58.0,1.4871794871794872,7.2925917881169084,9,160.0,0.21284998229621754,9,160.0
140.0,5,24.0,0.5714285714285714,8.23348366381301,5,155.0,0.2117030534272224,5,155.0
145.0,6,27.0,0.6923076923076923,9.319106732960861,6,165.0,0.3808701944838308,6,165.0
150.0,8,42.0,1.2727272727272727,7.8841572600399985,8,121.0,0.3597974915404115,8,121.0
155.0,6,24.0,0.6666666666666666,8.469458290733758,4,107.0,0.3694786050945875,4,107.0
160.0,6,19.0,0.6129032258064516,7.787635394641294,6,110.0,0.4548695666127042,6,110.0
165.0,6,24.0,0.8275862068965517,7.84236426087834,6,123.0,0.3400592700686099,6,123.0
170.0,9,40.0,1.25,7.537258945667491,9,109.0,0.32189436557850665,9,109.0
175.0,6,33.0,1.1,8.448692735621526,6,113.0,0.3908885340714621,6,113.0
180.0,3,15.0,0.6,6.677353131195251,3,77.0,0.2275146287422866,3,77.0
185.0,5,18.0,0.5806451612903226,8.149237137285697,5,86.0,0.3113385922174179,5,86.0
190.0,7,32.0,1.2307692307692308,7.548454767696244,7,83.0,0.42713383429539176,7,83.0
195.0,5,24.0,0.8571428571428571,8.236818221151276,4,66.0,0.37261163017431925,4,66.0
200.0,6,48.0,1.7777777777777777,9.163440327126645,5,63.0,0.4710600631930638,5,63.0
205.0,6,43.0,1.4827586206896552,8.3884381761124,6,59.0,0.3688869482474198,6,59.0
210.0,3,14.0,0.56,8.955569957164974,3,44.0,0.42937563241140325,3,44.0
215.0,4,27.0,1.08,8.847338924141644,4,50.0,0.3798745036399817,4,50.0
220.0,6,17.0,0.6538461538461539,8.99537993871288,5,46.0,0.4881389386671524,5,46.0
225.0,3,20.0,0.8,7.69130381034424,3,44.0,0.45121432786959415,3,44.0
230.0,6,20.0,0.7692307692307693,7.69497704627966,6,48.0,0.3663859728368704,6,48.0
235.0,9,64.0,2.4615384615384617,8.019410947052462,7,69.0,0.43431392018768755,7,69.0
240.0,5,39.0,1.56,7.19542046237525,5,46.0,0.32382330413256144,5,46.0
245.0,4,11.0,0.36666666666666664,9.526307849060146,2,33.0,0.4275602433978041,2,33.0
250.0,3,11.0,0.4074074074074074,10.209483766841204,3,37.0,0.6278947682883615,3,37.0
255.0,4,21.0,0.84,9.3511592245804,4,47.0,0.41151158442491015,4,47.0
260.0,8,54.0,2.5714285714285716,7.950030954595428,8,80.0,0.24509901540282183,8,80.0
265.0,9,96.0,4.173913043478261,7.861634242935711,9,122.0,0.31527425170206824,9,122.0
270.0,11,143.0,6.217391304347826,7.240359866361734,11,169.0,0.34226189232908194,11,169.0
275.0,11,198.0,7.92,7.082677899553715,11,224.0,0.32817588592697333,11,224.0
280.0,12,257.0,10.28,7.4375764029303335,12,283.0,0.3539299121567983,12,283.0
285.0,12,317.0,12.192307692307692,5.149745145483303,12,343.0,0.18231631363113524,12,343.0
290.0,18,396.0,14.666666666666666,4.411612278171773,18,422.0,0.14021794111297461,18,422.0
295.0,19,490.0,16.896551724137932,4.2241428525553655,19,516.0,0.142478228590053,19,516.0
300.0,21,594.0,21.214285714285715,3.042779230948597,21,620.0,0.17951460158842228,21,620.0
305.0,16,455.0,13.382352941176471,4.397624165558546,16,468.0,0.26384070009294563,16,468.0
310.0,11,123.0,3.727272727272727,5.5708231248197,9,360.0,0.31625319456662704,9,360.0
315.0,9,55.0,1.5714285714285714,7.545864202362099,6,257.0,0.29834248672355446,6,257.0
320.0,5,20.0,0.5,8.400538962951996,5,202.0,0.3792507597927093,5,202.0
325.0,4,18.0,0.5,8.765538902408885,4,194.0,0.46586653330612954,4,194.0
330.0,9,54.0,1.7419354838709677,7.728545075613092,7,219.0,0.2690900095547703,7,219.0
335.0,9,66.0,2.0625,7.596746070609223,9,194.0,0.20668760263491173,9,194.0
340.0,6,33.0,1.064516129032258,8.880118934644132,5,163.0,0.4981796286203785,5,163.0
345.0,3,11.0,0.3548387096774194,8.210152932194989,3,172.0,0.387963929256365,3,172.0
350.0,7,31.0,1.0333333333333334,7.385735508007752,7,192.0,0.32199825501747936,7,192.0
355.0,6,39.0,1.3,6.214666458489916,6,162.0,0.3143413877348004,6,162.0
360.0,9,34.0,1.3076923076923077,6.3747009797619025,8,157.0,0.19285851215567315,8,157.0
365.0,5,39.0,1.3,8.244781964747553,4,111.0,0.29404893678135446,4,111.0
370.0,4,32.0,1.0666666666666667,8.845863733573953,4,88.0,0.510495777941617,4,88.0
