step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.613566835990643,0,0.0,0.9710958017806721,0,0.0
10.0,0,0.0,0.0,13.764835357746831,0,0.0,0.9784132399372051,0,0.0
15.0,0,0.0,0.0,11.075597485797426,0,0.0,0.7848836892192086,0,0.0
20.0,4,8.0,1.0,4.1653919714795515,4,8.0,0.29976736402770776,4,8.0
25.0,6,36.0,3.0,6.7661509254681595,6,36.0,0.37981331592558243,6,36.0
30.0,6,66.0,5.5,5.063537938769376,6,66.0,0.3551257874068059,6,66.0
35.0,8,103.0,6.4375,6.336743934270858,8,103.0,0.2587081994742468,8,103.0
40.0,8,143.0,8.9375,6.576996489540401,8,143.0,0.3121618332096503,8,143.0
45.0,3,28.0,1.5555555555555556,6.240849546545901,3,28.0,0.37493286606681964,3,28.0
50.0,2,2.0,0.09523809523809523,10.960563441350507,0,0.0,0.7952694315408744,0,0.0
55.0,0,0.0,0.0,11.566079490343542,0,0.0,0.7999660863365493,0,0.0
60.0,1,4.0,0.2,11.617583004367344,1,4.0,0.5376980924033986,1,4.0
65.0,4,20.0,1.0,10.215456236582616,4,20.0,0.49511823231910546,4,20.0
70.0,5,45.0,2.25,9.949098645163772,5,45.0,0.5649687726437052,5,45.0
75.0,2,24.0,1.263157894736842,7.874028301430236,2,24.0,0.606784096267977,2,24.0
80.0,5,11.0,0.55,7.888280564622295,3,20.0,0.4638163049350285,3,20.0
85.0,3,9.0,0.391304347826087,7.842830460273531,3,21.0,0.3927436282599319,3,21.0
90.0,4,16.0,0.7272727272727273,8.918807074119066,4,29.0,0.407411701659931,4,29.0
95.0,6,45.0,1.875,9.39020514062994,5,52.0,0.48139613671298204,5,52.0
100.0,7,78.0,3.391304347826087,9.646683539701982,6,80.0,0.5080238853412049,6,80.0
105.0,3,53.0,2.5238095238095237,8.295426427766891,3,54.0,0.5391875527764446,3,54.0
110.0,3,5.0,0.23809523809523808,8.733441840519763,2,22.0,0.4935722204892187,2,22.0
115.0,2,2.0,0.08,9.951002311906054,2,20.0,0.5691744782043552,2,20.0
120.0,3,9.0,0.36,10.63127470725923,3,27.0,0.5972067046976587,3,27.0
125.0,3,17.0,0.6538461538461539,10.205879901378893,3,17.0,0.545507253602446,3,17.0
130.0,4,8.0,0.3333333333333333,9.197571230803655,3,16.0,0.4588290978848149,3,16.0
135.0,3,7.0,0.3684210526315789,6.484663174784826,3,22.0,0.2503184498907618,3,22.0
140.0,6,17.0,0.8095238095238095,8.462373679756839,6,26.0,0.31844017784416107,6,26.0
145.0,2,16.0,0.6666666666666666,9.725354268799526,2,19.0,0.6407530079826347,2,19.0
150.0,0,0.0,0.0,12.264785967343924,0,10.0,0.7545853106682128,0,10.0
155.0,1,1.0,0.04,11.431699624510289,1,3.0,0.5039622051364178,1,3.0
160.0,3,13.0,0.5416666666666666,12.444358199649692,3,15.0,0.6949148704066725,3,15.0
165.0,1,8.0,0.4,10.680111136986662,1,8.0,0.6946534187237514,1,8.0
170.0,2,5.0,0.25,10.380361807246258,1,3.0,0.5942983607688939,1,3.0
175.0,1,2.0,0.10526315789473684,10.673089018405877,1,4.0,0.7406629574748135,1,4.0
180.0,1,7.0,0.4117647058823529,9.730793457829625,1,7.0,0.504248855146287,1,7.0
185.0,5,27.0,1.2272727272727273,9.677450183393768,4,22.0,0.4221160503833633,4,22.0
190.0,5,47.0,2.473684210526316,9.891602541997958,5,47.0,0.5578773384188036,5,47.0
195.0,5,72.0,3.6,9.227710757460212,5,72.0,0.4868661066574563,5,72.0
200.0,9,110.0,5.7894736842105265,6.649680088779781,9,110.0,0.35569151450879016,9,110.0
205.0,4,55.0,2.391304347826087,6.813603290527558,4,55.0,0.40963467991583236,4,55.0
210.0,5,9.0,0.4090909090909091,7.7653215097577775,3,16.0,0.4947629090986792,3,16.0
215.0,2,8.0,0.3076923076923077,8.974822608778284,2,18.0,0.4467553659538198,2,18.0
220.0,5,18.0,0.6428571428571429,10.09703565560908,4,27.0,0.5893873684663279,4,27.0
225.0,4,37.0,1.3703703703703705,10.107318547949667,4,47.0,0.5473538189635688,4,47.0
230.0,3,31.0,1.24,8.732463681632487,3,34.0,0.5074293519835029,3,34.0
235.0,3,5.0,0.21739130434782608,8.769865515518415,2,27.0,0.5261600553090824,2,27.0
240.0,3,11.0,0.55,7.193421999893934,2,23.0,0.37088721679973047,2,23.0
