step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.606432991215405,0,0.0,0.9326003669073055,0,0.0
10.0,0,0.0,0.0,13.687136232704157,0,0.0,0.9533001452520585,0,0.0
15.0,0,0.0,0.0,9.75054415628996,0,0.0,0.6831042505528298,0,0.0
20.0,4,9.0,1.125,4.051046645767645,4,9.0,0.2761982222702698,4,9.0
25.0,4,25.0,2.0833333333333335,7.2837239181496045,4,25.0,0.47527693358520495,4,25.0
30.0,4,45.0,3.75,6.776719561126626,4,45.0,0.40875917863188327,4,45.0
35.0,6,71.0,4.4375,7.032369135594199,6,71.0,0.3371734182836426,6,71.0
40.0,10,110.0,6.875,5.235334675011175,10,110.0,0.27617369689790255,10,110.0
45.0,11,162.0,10.125,2.6543500851705155,11,162.0,0.18755340401075796,11,162.0
50.0,14,226.0,11.894736842105264,3.5991692839892138,14,226.0,0.21038469429641016,14,226.0
55.0,14,296.0,14.095238095238095,3.5544087889879257,14,296.0,0.2396014032378055,14,296.0
60.0,16,374.0,17.0,2.616917824851553,16,374.0,0.14654502560992055,16,374.0
65.0,19,464.0,16.571428571428573,4.068026779701059,19,464.0,0.1909048457305234,19,464.0
70.0,20,564.0,17.625,5.272610656141024,20,564.0,0.2685505935469247,20,564.0
75.0,23,667.0,20.21212121212121,3.2131236428143493,23,667.0,0.1893772649655248,23,667.0
80.0,26,796.0,22.742857142857144,1.9185592563451621,26,796.0,0.1083801496856442,26,796.0
85.0,32,946.0,24.894736842105264,1.9830069601410176,32,946.0,0.06816878728650497,32,946.0
90.0,34,1110.0,30.0,0.9829042046623689,34,1110.0,0.06748413221178227,34,1110.0
95.0,35,1282.0,29.136363636363637,2.593578017877867,35,1282.0,0.09797841118806762,35,1282.0
100.0,36,1462.0,32.48888888888889,2.4920033673309643,36,1462.0,0.1292659413918548,36,1462.0
105.0,41,1651.0,35.12765957446808,1.2621247118130523,41,1651.0,0.05148790565631184,41,1651.0
110.0,39,1497.0,30.551020408163264,1.6387387412475298,39,1497.0,0.07075697510612211,39,1497.0
115.0,26,886.0,16.40740740740741,4.208571478710591,26,1356.0,0.16655585136318413,26,1356.0
120.0,23,587.0,10.672727272727272,4.128462933048934,23,1150.0,0.172320457691161,23,1150.0
125.0,18,145.0,2.4166666666666665,4.84790615302376,18,1040.0,0.15771538061417598,18,1040.0
130.0,23,156.0,2.943396226415094,3.4354918342961045,23,1095.0,0.13020534365285433,23,1095.0
135.0,33,287.0,5.415094339622642,2.8660281513664945,33,1233.0,0.04400680371626744,33,1233.0
140.0,36,389.0,7.203703703703703,2.9278385901078194,36,1134.0,0.04777921744319185,36,1134.0
145.0,25,292.0,5.3090909090909095,4.843857441877228,25,1081.0,0.16611049893734886,25,1081.0
150.0,20,233.0,4.39622641509434,4.796728392917062,20,950.0,0.1670515812964087,20,950.0
155.0,19,118.0,2.0344827586206895,5.18837097863949,18,912.0,0.1452570193897955,18,912.0
160.0,16,114.0,2.150943396226415,5.0115936479093035,16,898.0,0.2149524933210788,16,898.0
165.0,22,198.0,3.8823529411764706,3.97741963223633,22,988.0,0.121266319677784,22,988.0
170.0,31,280.0,5.384615384615385,3.337567145063743,31,953.0,0.08963182967141693,31,953.0
175.0,24,234.0,4.5,4.185807441956483,24,882.0,0.1386936276958301,24,882.0
180.0,24,231.0,4.8125,3.1003354823087803,24,875.0,0.05742397580649361,24,875.0
185.0,17,118.0,2.185185185185185,5.087729935714525,17,872.0,0.14880338544007235,17,872.0
190.0,18,130.0,2.7083333333333335,4.22297016555154,18,915.0,0.18370160280082531,18,915.0
195.0,23,191.0,3.7450980392156863,3.8555080229560876,23,1018.0,0.12730883123134987,23,1018.0
200.0,30,290.0,5.8,2.8461913564623096,30,1016.0,0.09554013713362387,30,1016.0
205.0,26,246.0,4.730769230769231,4.02073168471138,26,1034.0,0.11277503450269995,26,1034.0
210.0,24,303.0,6.06,4.9659262848326104,24,930.0,0.15878693008580344,24,930.0
215.0,23,372.0,6.888888888888889,5.191272752050848,23,1049.0,0.13655682218179632,23,1049.0
220.0,31,513.0,10.058823529411764,3.8684589278636565,31,1190.0,0.14514139563161202,31,1190.0
225.0,31,587.0,11.74,2.271645872142105,31,1184.0,0.09789851084995804,31,1184.0
230.0,30,406.0,7.96078431372549,2.7615579985886054,28,1194.0,0.11242214104517309,28,1194.0
235.0,23,304.0,5.846153846153846,3.161256437882026,22,1210.0,0.14608103352750337,22,1210.0
240.0,20,159.0,3.0576923076923075,3.8232046099705945,18,1220.0,0.09380127035116277,18,1220.0
245.0,20,150.0,2.727272727272727,5.795161616215669,18,1138.0,0.1538706496564488,18,1138.0
250.0,21,221.0,4.0181818181818185,5.8541654466712805,19,1176.0,0.19995224736332928,19,1176.0
255.0,21,262.0,5.137254901960785,4.931624448926951,21,1081.0,0.19251276393169303,21,1081.0
260.0,21,170.0,3.5416666666666665,4.93932263635658,19,973.0,0.16808309229001067,19,973.0
265.0,13,115.0,2.5,4.631222774090521,11,996.0,0.1519238997455735,11,996.0
270.0,13,82.0,1.8636363636363635,4.76094530767674,11,1016.0,0.1484150144432293,11,1016.0
275.0,14,76.0,1.6521739130434783,5.97148223256328,14,1011.0,0.1803951714359597,14,1011.0
280.0,18,134.0,2.851063829787234,5.556877301952347,18,949.0,0.20835822956468242,18,949.0
285.0,16,95.0,2.2093023255813953,5.29070455838201,16,801.0,0.21046507024867916,16,801.0
290.0,12,68.0,1.6585365853658536,4.194008740159631,11,852.0,0.149012942996263,11,852.0
295.0,12,53.0,1.2619047619047619,5.389968873268689,9,876.0,0.20253211729251352,9,876.0
300.0,11,66.0,1.6923076923076923,4.824130693014058,11,791.0,0.1609006468415105,11,791.0
305.0,9,39.0,0.8666666666666667,6.6724173476006605,9,693.0,0.20498937224883387,9,693.0
310.0,10,56.0,1.3333333333333333,5.854128157009448,10,745.0,0.23355561140327552,10,745.0
315.0,14,105.0,2.625,3.6078073610890287,14,807.0,0.12650590251830365,14,807.0
320.0,22,182.0,4.333333333333333,3.3883611305587826,22,763.0,0.13171467892259817,22,763.0
325.0,17,196.0,4.780487804878049,3.6121068709040203,17,658.0,0.1634386825563382,17,658.0
330.0,11,154.0,3.7560975609756095,3.81895578710684,11,679.0,0.13800228085325583,11,679.0
335.0,9,41.0,0.8913043478260869,5.875423258979711,7,614.0,0.1628815596124144,7,614.0
340.0,14,74.0,1.7209302325581395,6.6260006588595814,12,612.0,0.3151931063993406,12,612.0
345.0,13,105.0,2.234042553191489,7.014581124126844,13,529.0,0.2791813434958817,13,529.0
350.0,13,59.0,1.3409090909090908,5.514390602211381,13,487.0,0.22473815040491232,13,487.0
355.0,15,79.0,1.880952380952381,5.962962504921389,13,367.0,0.2416942415118116,13,367.0
360.0,14,126.0,3.15,6.223994302391255,10,313.0,0.21782371460486527,10,313.0
365.0,14,181.0,4.309523809523809,7.764390763112509,12,263.0,0.2852248762830715,12,263.0
370.0,8,108.0,2.769230769230769,7.623617021702499,8,207.0,0.4316258399177369,8,207.0
375.0,5,26.0,0.6842105263157895,8.009115970979394,5,161.0,0.3599297516773361,5,161.0
380.0,8,32.0,0.8,7.8659697938354665,8,163.0,0.27407459329439815,8,163.0
385.0,9,35.0,0.8536585365853658,6.963710034797476,9,184.0,0.21540155934752372,9,184.0
390.0,11,61.0,1.6944444444444444,6.310778949345262,11,183.0,0.2466665070639549,11,183.0
395.0,11,104.0,2.4761904761904763,7.989357216541108,11,216.0,0.33097092317356835,11,216.0
400.0,11,155.0,4.078947368421052,7.598669133628315,11,248.0,0.3692654341086965,11,248.0
405.0,8,128.0,3.5555555555555554,6.021383370040152,8,208.0,0.2423840919106638,8,208.0
410.0,9,41.0,1.1388888888888888,6.485797773200816,7,175.0,0.22827319643910485,7,175.0
415.0,10,53.0,1.5588235294117647,7.395960999676607,8,141.0,0.33515205094783596,8,141.0
420.0,8,63.0,1.8529411764705883,6.489952053255954,8,147.0,0.2414470782890909,8,147.0
425.0,9,40.0,1.1111111111111112,6.782991463088366,9,173.0,0.2557894686163461,9,173.0
