step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.31349606426611,0,0.0,0.9670022648222552,0,0.0
10.0,0,0.0,0.0,14.096401824373515,0,0.0,0.9604102865051828,0,0.0
15.0,0,0.0,0.0,9.466017036117574,0,0.0,0.6526143386526623,0,0.0
20.0,4,12.0,1.5,3.7827405346314675,4,12.0,0.27216003666915484,4,12.0
25.0,6,40.0,3.3333333333333335,6.879725177424105,6,40.0,0.39014495083901113,6,40.0
30.0,6,70.0,5.833333333333333,5.493421188503618,6,70.0,0.37129918986678373,6,70.0
35.0,8,107.0,6.6875,5.749095191546097,8,107.0,0.21966038417659553,8,107.0
40.0,10,154.0,9.625,5.206037730659126,10,154.0,0.2725630740355743,10,154.0
45.0,10,204.0,11.333333333333334,4.664053321245444,10,204.0,0.2381070403162196,10,204.0
50.0,10,197.0,9.85,4.3697252190594735,10,197.0,0.2438092307730731,10,197.0
55.0,12,257.0,12.238095238095237,4.609338526336812,12,257.0,0.2667748084823096,12,257.0
60.0,14,326.0,14.818181818181818,4.091756356549273,14,326.0,0.1770306279990364,14,326.0
65.0,18,404.0,14.428571428571429,5.097672880697213,18,404.0,0.20636652157438928,18,404.0
70.0,18,494.0,16.466666666666665,5.523482490598838,18,494.0,0.28946636942709925,18,494.0
75.0,22,588.0,18.375,3.5455464191563353,22,588.0,0.19943269715370093,22,588.0
80.0,24,706.0,21.393939393939394,2.692430959643571,24,706.0,0.12630365278811398,24,706.0
85.0,27,834.0,23.166666666666668,2.7256518365803726,27,834.0,0.09017880299098921,27,834.0
90.0,30,979.0,27.97142857142857,1.935286169148617,30,979.0,0.08144057918595834,30,979.0
95.0,30,1129.0,26.88095238095238,3.10403821149773,30,1129.0,0.11331369510772198,30,1129.0
