step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.619939357825425,0,0.0,0.9796926230807477,0,0.0
10.0,0,0.0,0.0,13.683910341507739,0,0.0,0.9707516488783746,0,0.0
15.0,0,0.0,0.0,10.861653990701427,0,0.0,0.7711859198591194,0,0.0
20.0,4,11.0,1.375,4.2518212024215405,4,11.0,0.3010653682200565,4,11.0
25.0,0,0.0,0.0,8.19095530815856,0,0.0,0.9849457986603649,0,0.0
30.0,2,2.0,0.16666666666666666,11.138590964041775,0,0.0,0.9800237628777693,0,0.0
35.0,2,12.0,0.75,10.418119860248716,0,0.0,0.6789569833791153,0,0.0
40.0,6,35.0,2.1875,8.65989665199951,4,13.0,0.4773374088989193,4,13.0
45.0,6,65.0,4.642857142857143,7.454352130654715,4,33.0,0.4476899762598894,4,33.0
50.0,4,53.0,3.533333333333333,9.164088375171207,4,53.0,0.4902196720258744,4,53.0
55.0,4,73.0,4.294117647058823,9.136098720545924,4,73.0,0.450434833173693,4,73.0
60.0,6,100.0,6.666666666666667,7.898274730041441,6,100.0,0.3812554491306267,6,100.0
65.0,6,130.0,6.842105263157895,8.406858012877287,6,130.0,0.4030995097557271,6,130.0
70.0,7,164.0,7.454545454545454,9.176498160539394,7,164.0,0.5138618947442279,7,164.0
75.0,3,46.0,1.9166666666666667,8.23946539457397,3,46.0,0.5632496449414891,3,46.0
80.0,3,10.0,0.43478260869565216,6.9234174055643445,3,22.0,0.4235264798277715,3,22.0
85.0,2,5.0,0.2,7.380232961978257,2,26.0,0.38513216517748,2,26.0
90.0,5,27.0,1.125,8.65604843001061,5,38.0,0.33516694115415285,5,38.0
95.0,5,52.0,1.8571428571428572,10.131314874737436,5,63.0,0.3902575829859332,5,63.0
100.0,7,84.0,3.230769230769231,10.129529119075105,7,95.0,0.5173018299681751,7,95.0
105.0,7,78.0,3.391304347826087,7.1934940893524475,7,79.0,0.3678375410016156,7,79.0
110.0,4,10.0,0.47619047619047616,7.012899664427733,4,58.0,0.33140155785534814,4,58.0
115.0,2,5.0,0.2,8.665035658394453,2,33.0,0.5693818179587651,2,33.0
120.0,5,20.0,0.7407407407407407,9.806494588955113,4,47.0,0.5632831659762942,4,47.0
125.0,4,25.0,0.8928571428571429,9.509362558651917,4,41.0,0.5064793585841897,4,41.0
130.0,3,7.0,0.2692307692307692,9.205018380812112,2,35.0,0.4579136063098611,2,35.0
135.0,3,21.0,1.0,8.961504229672288,2,23.0,0.4267420172041339,2,23.0
140.0,6,45.0,2.0454545454545454,9.24073894534984,5,35.0,0.3724781305521283,5,35.0
145.0,1,8.0,0.32,10.198811530419707,1,8.0,0.7319774213529355,1,8.0
150.0,1,1.0,0.045454545454545456,11.49124164682338,0,0.0,0.8184323002350349,0,0.0
155.0,2,4.0,0.17391304347826086,10.785517037864185,2,4.0,0.6182423631710872,2,4.0
160.0,3,18.0,0.72,12.115041416133337,3,18.0,0.6903917031741557,3,18.0
165.0,3,33.0,1.736842105263158,9.451950368939098,3,33.0,0.4436848480554501,3,33.0
170.0,7,62.0,2.8181818181818183,8.532167518580895,7,62.0,0.320275464066199,7,62.0
175.0,3,33.0,1.5714285714285714,8.37765707831747,3,33.0,0.6325531401380032,3,33.0
180.0,1,3.0,0.16666666666666666,8.106933526757977,1,18.0,0.43525616914102416,1,18.0
185.0,3,7.0,0.28,8.802270223778102,3,24.0,0.3338206689218381,3,24.0
190.0,5,24.0,1.0434782608695652,10.402408743018212,5,40.0,0.5409777661190917,5,40.0
195.0,5,30.0,1.3636363636363635,8.359405758228668,5,38.0,0.4684014951990403,5,38.0
200.0,3,17.0,0.7391304347826086,9.298414707185339,3,37.0,0.48338379391231473,3,37.0
205.0,3,32.0,1.3333333333333333,9.680368209362813,3,33.0,0.4464147312696074,3,33.0
210.0,6,58.0,2.5217391304347827,10.30027910134945,6,59.0,0.4314052860665098,6,59.0
215.0,4,45.0,1.8,9.901190209335649,4,45.0,0.4217924322216547,4,45.0
220.0,3,6.0,0.2727272727272727,9.994355500277585,1,23.0,0.661749046775398,1,23.0
225.0,3,7.0,0.3333333333333333,9.342146704574146,3,28.0,0.5988019922433356,3,28.0
230.0,5,27.0,1.125,10.37700232842529,4,47.0,0.45757048180842047,4,47.0
235.0,4,29.0,1.2608695652173914,8.780347804069516,4,31.0,0.44320703468284567,4,31.0
240.0,1,5.0,0.2631578947368421,8.361061765466042,1,24.0,0.39980928282025036,1,24.0
245.0,4,20.0,0.8695652173913043,10.366630711010286,4,20.0,0.45960678273773975,4,20.0
250.0,1,3.0,0.125,10.838497040935833,1,3.0,0.7650967266463752,1,3.0
255.0,3,6.0,0.2727272727272727,9.657730380254593,1,4.0,0.5444605735409397,1,4.0
260.0,3,9.0,0.47368421052631576,9.129699305320099,3,9.0,0.4774637254297478,3,9.0
265.0,2,8.0,0.36363636363636365,10.960571842965095,1,10.0,0.6587883398913984,1,10.0
270.0,3,23.0,1.2105263157894737,10.424341252909228,2,16.0,0.5998112396866757,2,16.0
275.0,5,45.0,2.0454545454545454,9.830523400052341,4,33.0,0.5374666170944294,4,33.0
280.0,3,25.0,1.1904761904761905,9.05603759113421,3,25.0,0.6109201999306128,3,25.0
285.0,4,13.0,0.65,9.333862297629514,3,12.0,0.5773851744224145,3,12.0
290.0,4,14.0,0.7,7.8852643965400135,4,24.0,0.3514253372046362,4,24.0
295.0,5,21.0,0.84,9.876315077265252,5,21.0,0.46717485936731684,5,21.0
300.0,2,8.0,0.38095238095238093,8.983251371914227,2,8.0,0.6059536639208403,2,8.0
305.0,2,9.0,0.36,10.207706306247674,1,7.0,0.6891001825047155,1,7.0
310.0,3,6.0,0.2857142857142857,8.786846298000299,3,6.0,0.5837961750827205,3,6.0
315.0,1,6.0,0.2727272727272727,9.405312566344229,1,8.0,0.48914619595763636,1,8.0
320.0,6,26.0,1.0833333333333333,10.439465510583569,5,21.0,0.5163805274608152,5,21.0
325.0,1,7.0,0.2916666666666667,10.296633347901016,1,7.0,0.6998803025811858,1,7.0
330.0,1,3.0,0.15789473684210525,9.396769896247728,1,3.0,0.46725678293023726,1,3.0
335.0,3,7.0,0.3333333333333333,9.030504904607326,3,7.0,0.30411138519525976,3,7.0
340.0,3,18.0,0.782608695652174,11.408877053757218,3,18.0,0.6784275230284637,3,18.0
345.0,2,13.0,0.6190476190476191,10.473003409295089,2,13.0,0.673875040376599,2,13.0
350.0,2,8.0,0.36363636363636365,10.206023679642248,1,7.0,0.6399650167851576,1,7.0
