step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.0,0,0.0,0.6817636407269236,0,0.0
25.0,0,0.0,0.0,13.859074540552683,0,0.0,0.9448613115873014,0,0.0
30.0,0,0.0,0.0,14.564072838509606,0,0.0,0.9929255322194409,0,0.0
35.0,0,0.0,0.0,14.258400751385057,0,0.0,0.9720859207207779,0,0.0
40.0,0,0.0,0.0,13.218189787464292,0,0.0,0.8995907953972483,0,0.0
45.0,0,0.0,0.0,14.513070758718671,0,0.0,0.9875328902783382,0,0.0
50.0,0,0.0,0.0,14.593508842338482,0,0.0,0.9930136187618233,0,0.0
55.0,0,0.0,0.0,14.58046734373332,0,0.0,0.9921065347908893,0,0.0
60.0,0,0.0,0.0,14.372040004755975,0,0.0,0.9779181173922598,0,0.0
65.0,0,0.0,0.0,14.332564029139606,0,0.0,0.9752603454798133,0,0.0
70.0,0,0.0,0.0,14.480932956207683,0,0.0,0.9853524517688759,0,0.0
75.0,0,0.0,0.0,7.4240804513440715,0,0.0,0.5042259325414884,0,0.0
80.0,1,5.0,2.5,7.299346662825037,1,5.0,0.4957182519100978,1,5.0
85.0,0,0.0,0.0,7.785522753896721,0,9.0,0.5288628095794277,0,9.0
90.0,0,0.0,0.0,5.175634991777707,0,0.0,0.39141277950399933,0,0.0
95.0,0,0.0,0.0,4.440893651159842,0,3.0,0.04775282176451089,0,3.0
100.0,0,0.0,0.0,9.385853155195427,0,0.0,0.8320320278723476,0,0.0
105.0,0,0.0,0.0,12.061589096013284,0,0.0,0.9850605758665303,0,0.0
110.0,0,0.0,0.0,12.756697055969363,0,0.0,0.9860035248850668,0,0.0
115.0,0,0.0,0.0,13.148718234009921,0,0.0,0.9591395627491339,0,0.0
120.0,0,0.0,0.0,13.51663454748995,0,0.0,0.9936922730652952,0,0.0
125.0,0,0.0,0.0,13.435020995528847,0,0.0,0.9845714986561859,0,0.0
130.0,0,0.0,0.0,13.368168575154407,0,0.0,0.9875305430269141,0,0.0
135.0,0,0.0,0.0,13.244858454970062,0,0.0,0.9675161466335693,0,0.0
140.0,0,0.0,0.0,13.38702027634147,0,0.0,0.9746665454981109,0,0.0
145.0,0,0.0,0.0,13.421882719397827,0,0.0,0.9838455343405504,0,0.0
150.0,0,0.0,0.0,13.297834612272673,0,0.0,0.9820542575016216,0,0.0
155.0,0,0.0,0.0,13.27314444384801,0,0.0,0.9833017210293866,0,0.0
160.0,0,0.0,0.0,8.718845501487108,0,0.0,0.6459579123685018,0,0.0
165.0,1,5.0,0.8333333333333334,7.226049724535694,1,9.0,0.5858951131746218,1,9.0
170.0,2,12.0,2.0,6.337351642554409,2,12.0,0.4892340411359021,2,12.0
175.0,1,15.0,1.875,8.59169126835579,1,21.0,0.5864937896519141,1,21.0
180.0,1,20.0,2.5,10.323868950850219,1,20.0,0.7608933499067185,1,20.0
185.0,1,25.0,2.7777777777777777,11.091639411072054,1,25.0,0.7792802509267682,1,25.0
190.0,1,30.0,3.0,11.694321392405048,1,30.0,0.8205367025272051,1,30.0
195.0,0,0.0,0.0,11.9294145025848,0,34.0,0.828459386377768,0,34.0
200.0,0,0.0,0.0,12.198709289398934,0,0.0,0.9713373044574107,0,0.0
205.0,0,0.0,0.0,12.380302286227588,0,0.0,0.9318122959303257,0,0.0
210.0,0,0.0,0.0,12.90730367935263,0,0.0,0.9486908017352474,0,0.0
215.0,0,0.0,0.0,12.681666867462514,0,0.0,0.9301582686468932,0,0.0
220.0,0,0.0,0.0,12.597490207597968,0,0.0,0.9167862385062182,0,0.0
225.0,1,3.0,0.17647058823529413,11.39547491858426,1,3.0,0.811029871605168,1,3.0
230.0,2,12.0,0.631578947368421,11.538153799848937,2,12.0,0.8187534793058203,2,12.0
235.0,0,0.0,0.0,11.494118549295301,0,20.0,0.829304927437012,0,20.0
240.0,0,0.0,0.0,12.137282548740565,0,0.0,0.9825288733829743,0,0.0
245.0,0,0.0,0.0,12.40075453463219,0,0.0,0.9726722334189472,0,0.0
250.0,0,0.0,0.0,12.776812883753978,0,0.0,0.9480040263298761,0,0.0
255.0,0,0.0,0.0,13.15637731875116,0,0.0,0.9644378357619949,0,0.0
260.0,0,0.0,0.0,12.44827236156984,0,0.0,0.9454458149462935,0,0.0
265.0,1,3.0,0.13043478260869565,11.975158915561604,1,3.0,0.8592726969304789,1,3.0
270.0,0,0.0,0.0,12.155732951022102,0,11.0,0.868846889949311,0,11.0
275.0,0,0.0,0.0,12.510447689168299,0,0.0,0.968833150327683,0,0.0
280.0,0,0.0,0.0,12.375660923528729,0,0.0,0.9489758507275466,0,0.0
285.0,0,0.0,0.0,12.426148775947148,0,0.0,0.910153506588633,0,0.0
290.0,0,0.0,0.0,12.823511107345409,0,4.0,0.9121296151518992,0,4.0
295.0,0,0.0,0.0,12.151189258182818,0,0.0,0.8578185673069137,0,0.0
300.0,1,5.0,0.1724137931034483,12.038025870017876,1,7.0,0.8261464812916034,1,7.0
305.0,3,14.0,0.4666666666666667,11.25054815530005,3,14.0,0.7679773298423628,3,14.0
310.0,4,32.0,1.0,11.414993324309423,4,32.0,0.7765147891222985,4,32.0
