episode,system_total_waiting_time
1,2239.923336291038
2,1469.6128834355827
3,879.30375
4,995.3836701697657
5,474.9773416592328
6,806.8787812840043
7,5334.936263736264
8,2029.811798561151
9,1894.5347487615004
10,826.7485224022879
11,585.7913469387755
12,368.0698315467075
13,617.2524590163935
14,370.95452538631343
15,901.3333333333334
16,1765.4248756218906
17,1464.468556005398
18,455.6354330708661
19,2325.8830769230767
20,1226.9198190045247
21,1644.2886118038236
22,857.9709825528007
23,1012.9484986351227
24,844.795026642984
25,906.8208566108008
26,2469.6977673325496
27,1220.3110473457677
28,3336.059539918809
29,592.3571164510166
30,854.8111498257839
31,1179.2398803589233
32,801.8040096230955
33,2666.0284789644015
34,427.62368421052633
35,140.5896907216495
36,147.72833020637898
37,122.62586750788644
38,333.29986357435195
39,367.5476383265857
40,511.03338437978556
41,902.5411126187246
42,2149.982969885774
43,2030.536416184971
44,947.3836257309941
45,657.4101265822785
46,526.7882534775889
47,515.1380560131796
48,1769.6529801324505
49,1897.1620571428573
50,1459.2413373860184
51,1302.1030927835052
52,786.9487922705314
53,819.8288461538461
54,522.4232662192394
55,1087.8569646569647
56,1368.09378330373
57,1720.2114416475972
58,2656.361643835616
59,2683.8999999999996
60,843.8227027027027
61,1061.4374753451677
62,945.1335423197492
63,1195.817543859649
64,1013.4141935483872
65,390.4234762979684
66,1193.4446194225723
67,3516.883692307692
68,916.6886699507388
69,1482.7616341030196
70,1260.9348837209302
71,698.1158208955223
72,534.8886486486487
73,490.7872286079183
74,354.1833971902937
75,342.2417370325694
76,1637.5488454706926
77,1447.068825910931
78,3701.0066561014264
79,1550.9132467532468
80,562.5076700434154
81,2426.2809457579974
82,1353.1756028368795
83,1140.64
84,1020.3363748458694
85,1045.200606980273
86,2076.812998522895
87,1751.358865248227
88,1330.9253441295548
89,1268.6435261707989
90,866.2726406101049
91,1822.7975373790678
92,1123.013155386082
93,1129.0556500607534
94,1867.694508301405
95,3005.446064139942
96,1032.81540436457
97,1583.0436944937833
98,964.3625843780135
99,2284.6897959183675
100,1260.4463519313306
101,1887.5667905824039
102,1263.2943134535367
103,999.0263648468709
104,1089.3614678899082
105,904.8508744038155
106,950.9469548133595
107,1321.3433296582139
108,1364.8089440993788
109,988.710552763819
110,1763.9472779369628
111,1019.3120287253142
112,2699.8325991189427
113,2690.142706502636
114,3186.6584139264987
115,6057.419027484144
116,1091.0842975206613
117,2242.9859985261605
118,1281.2955916473318
119,2424.7136762860728
120,938.4064590542099
121,1867.8352128883776
122,3744.8629320619784
123,1384.4237288135594
124,3227.741100323625
125,1492.0365714285715
126,1484.1688073394496
127,1345.3281553398058
128,3997.674327628362
129,2882.498181818182
130,16472.2202247191
131,2463.964500792393
132,2295.925032092426
133,3443.059313215401
134,5507.882284607938
135,907.2847352024922
136,1347.3842239185751
137,1462.0981744421906
138,1267.9562753036437
139,965.091823899371
140,1040.0898582333698
141,1322.8056680161944
142,1560.3373104145603
143,1072.6328108672935
144,1410.5056443024494
145,1708.0471101417666
146,1599.4318602261048
147,3132.552417794971
148,1849.6495867768595
149,2163.290566037736
150,2018.9463212435232
151,1137.5025423728812
152,2096.7207430340554
153,1404.4097148891235
154,2060.135319148936
155,1460.3342799188642
156,1081.5520000000001
157,1362.8183112919633
158,1994.8570184983678
159,1288.5385041551247
160,1296.2233962264152
161,1706.0064965197216
162,2016.7079401611047
163,1013.9815866797258
164,1889.2346723044398
165,1684.888382687927
166,1104.1170340681363
167,2986.8210035005836
168,1014.1546910755148
169,1682.9023030303028
170,795.5212187159957
171,982.056670113754
172,2088.5950230414746
173,1852.3983805668017
174,2573.8547304170907
175,1006.1331136738057
176,2555.147087857848
177,1868.5220747889023
178,1175.5442542787287
179,2962.516148148148
180,1669.955918367347
181,1341.3523600439078
182,1529.9993079584774
183,2078.3879218472466
184,1864.9691666666665
185,2042.608888888889
186,1303.1540331491713
187,2964.4477130044843
188,2051.4704697986576
189,1363.4772655007948
190,1284.5188997338066
191,2003.4347607052896
192,1319.3755151515152
193,2997.952879581152
194,1500.1159420289855
195,2007.2412607449858
196,2658.040552995392
197,1429.5735941320293
198,967.3074168797955
199,1231.4666666666667
200,3085.8387096774195
