step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.0,0,0.0,0.7682663585611261,0,0.0
25.0,0,0.0,0.0,12.62581690722225,0,0.0,0.9699990379171138,0,0.0
30.0,0,0.0,0.0,12.807526893984393,0,0.0,0.983959204901508,0,0.0
35.0,0,0.0,0.0,12.988220518292726,0,0.0,0.9978412881777655,0,0.0
40.0,0,0.0,0.0,12.781711411697724,0,0.0,0.90301382152398,0,0.0
45.0,0,0.0,0.0,13.924704724320502,0,0.0,0.9747726843905069,0,0.0
50.0,0,0.0,0.0,13.979630156923843,0,0.0,0.9779227301851885,0,0.0
55.0,0,0.0,0.0,14.11598894539365,0,0.0,0.9885539468267042,0,0.0
60.0,0,0.0,0.0,13.939940276128066,0,0.0,0.9763782542235343,0,0.0
65.0,0,0.0,0.0,14.244034090175585,0,0.0,0.9974480316564285,0,0.0
70.0,0,0.0,0.0,13.952808144714975,0,0.0,0.9777230145287878,0,0.0
75.0,0,0.0,0.0,14.198962437900075,0,0.0,0.9945170284552551,0,0.0
80.0,0,0.0,0.0,14.143738853666758,0,0.0,0.9830156928268403,0,0.0
85.0,0,0.0,0.0,14.120095009022219,0,0.0,0.9814568820748568,0,0.0
90.0,1,1.0,0.5,6.456250578893427,1,1.0,0.00039758255175314047,1,1.0
95.0,1,6.0,3.0,6.309521949361478,1,6.0,0.0,1,6.0
100.0,1,11.0,2.75,8.519543678721147,1,11.0,0.5138724598510057,1,11.0
105.0,1,16.0,3.2,10.405139529963105,1,16.0,0.723398463235988,1,16.0
110.0,1,21.0,4.2,10.555616066092812,1,21.0,0.7368263648513717,1,21.0
115.0,1,26.0,4.333333333333333,10.858185240184113,1,26.0,0.7450611917790552,1,26.0
120.0,1,31.0,5.166666666666667,11.365705268824208,1,31.0,0.7881115372094643,1,31.0
125.0,1,36.0,6.0,11.384159568772851,1,36.0,0.7870075646121231,1,36.0
130.0,1,41.0,6.833333333333333,11.341033951202762,1,41.0,0.7897632824805999,1,41.0
135.0,1,46.0,6.571428571428571,11.620239140414272,1,46.0,0.8054848575764693,1,46.0
140.0,1,51.0,7.285714285714286,11.686901493639935,1,51.0,0.8128725119428989,1,51.0
145.0,1,56.0,9.333333333333334,11.641550573985873,1,56.0,0.820097363002621,1,56.0
150.0,1,61.0,10.166666666666666,11.556438711723937,1,61.0,0.777142729929128,1,61.0
155.0,0,0.0,0.0,11.716045524342766,0,65.0,0.794044303025751,0,65.0
160.0,0,0.0,0.0,10.397390745804142,0,0.0,0.7421375307934148,0,0.0
165.0,1,4.0,0.5714285714285714,8.016023454742285,1,4.0,0.4693478113293502,1,4.0
170.0,2,14.0,2.0,9.233657649795855,2,14.0,0.4874661750973573,2,14.0
175.0,2,24.0,2.6666666666666665,10.410383905457167,2,24.0,0.607960567524391,2,24.0
180.0,2,34.0,3.7777777777777777,10.773355344283587,2,34.0,0.6529049781065726,2,34.0
185.0,2,44.0,4.4,10.795263660395598,2,44.0,0.6008160677985769,2,44.0
190.0,2,54.0,4.909090909090909,11.010465050051907,2,54.0,0.6532406161553291,2,54.0
195.0,2,64.0,5.818181818181818,11.482372492520227,2,64.0,0.6991802960714232,2,64.0
200.0,1,39.0,3.5454545454545454,11.528553773268214,1,73.0,0.7092421050354648,1,73.0
205.0,1,44.0,3.6666666666666665,11.477514958242844,1,44.0,0.7992080104103043,1,44.0
210.0,1,49.0,3.769230769230769,12.297542098504135,1,49.0,0.8580111996464768,1,49.0
215.0,1,54.0,3.6,12.167397397893742,1,54.0,0.8339897696612036,1,54.0
220.0,2,61.0,4.066666666666666,12.079402725118578,2,61.0,0.8112636096036124,2,61.0
225.0,2,71.0,4.4375,12.178835271978043,2,71.0,0.8248651318131319,2,71.0
230.0,2,81.0,4.5,11.955060927846468,2,81.0,0.8191716713712529,2,81.0
235.0,4,96.0,5.052631578947368,10.659840843780017,4,96.0,0.7281335119842001,4,96.0
240.0,5,117.0,6.5,9.883586155886727,5,117.0,0.6906072785184637,5,117.0
245.0,5,142.0,7.888888888888889,9.862962422614928,5,142.0,0.6723520329696976,5,142.0
250.0,5,167.0,7.590909090909091,10.28201872847148,5,167.0,0.7231405116222557,5,167.0
255.0,5,192.0,8.0,9.924514100142302,5,192.0,0.6973589765642036,5,192.0
260.0,7,223.0,9.291666666666666,9.401794209429346,7,223.0,0.6752819973351667,7,223.0
265.0,7,258.0,10.75,8.820750271854331,7,258.0,0.6368055487180027,7,258.0
270.0,7,293.0,11.72,7.747970161067469,7,297.0,0.5503098561532727,7,297.0
275.0,8,333.0,12.333333333333334,8.480421905112884,8,333.0,0.6248339870203544,8,333.0
280.0,8,373.0,13.814814814814815,8.44686229047937,8,373.0,0.5996441609952503,8,373.0
285.0,10,419.0,15.518518518518519,8.072948810498913,10,419.0,0.5436337498828044,10,419.0
290.0,10,469.0,17.37037037037037,7.948227879735077,10,469.0,0.5162404128531364,10,469.0
295.0,11,523.0,17.433333333333334,7.996878088860177,11,523.0,0.49505151191647373,11,523.0
300.0,12,582.0,18.774193548387096,8.155430212886339,12,582.0,0.5150201417970082,12,582.0
